# Distance (m)	Slope (deg)
0	 20.467764418063
1	 20.005352903197
2	 19.542941388330
3	 19.080529873464
4	 18.618118358598
5	 18.155706843731
6	 17.693295328865
7	 17.230883813998
8	 16.768472299132
9	 16.306060784266
10	 15.843649269399
11	 15.381237754533
12	 14.918826239666
13	 14.456414724800
14	 13.994003209934
15	 13.531591695067
16	 13.069180180201
17	 12.606768665334
18	 12.144357150468
19	 11.681945635601
20	 11.219534120735
21	 10.757122605869
22	 10.294711091002
23	 9.832299576136
24	 9.369888061269
25	 8.907476546403
26	 8.445065031537
27	 7.982653516670
28	 7.520242001804
29	 7.057830486937
30	 7.025152164526
31	 7.860738969159
32	 8.696325773792
33	 9.531912578426
34	 10.367499383059
35	 11.203086187692
36	 12.038672992325
37	 12.874259796958
38	 13.709846601591
39	 14.545433406224
40	 15.381020210857
41	 16.216607015490
42	 17.052193820123
43	 17.887780624757
44	 18.723367429390
45	 19.593912029411
46	 20.535087977479
47	 21.476263925546
48	 22.417439873614
49	 23.358615821681
50	 24.299791769749
51	 25.240967717816
52	 26.182143665884
53	 27.123319613951
54	 28.064495562019
55	 29.005671510086
56	 29.946847458154
57	 30.888023406221
58	 31.829199354289
59	 32.770375302356
60	 33.470207847679
61	 33.682412105658
62	 33.894616363637
63	 34.106820621617
64	 34.319024879596
65	 34.531229137576
66	 34.743433395555
67	 34.955637653535
68	 35.167841911514
69	 35.380046169494
70	 35.592250427473
71	 35.804454685452
72	 36.016658943432
73	 36.228863201411
74	 36.441067459391
75	 36.493453269273
76	 36.222929916036
77	 35.952406562799
78	 35.681883209563
79	 35.411359856326
80	 35.140836503089
81	 34.870313149852
82	 34.599789796615
83	 34.329266443378
84	 34.058743090141
85	 33.788219736904
86	 33.517696383667
87	 33.247173030430
88	 32.976649677193
89	 32.706126323956
90	 32.396874746944
91	 32.009373765792
92	 31.621872784639
93	 31.234371803486
94	 30.846870822333
95	 30.459369841180
96	 30.071868860027
97	 29.684367878874
98	 29.296866897721
99	 28.909365916568
100	 28.521864935416
101	 28.134363954263
102	 27.746862973110
103	 27.359361991957
104	 26.971861010804
105	 26.729184088576
106	 26.779120542370
107	 26.829056996163
108	 26.878993449957
109	 26.928929903750
110	 26.978866357543
111	 27.028802811337
112	 27.078739265130
113	 27.128675718924
114	 27.178612172717
115	 27.228548626511
116	 27.278485080304
117	 27.328421534098
118	 27.378357987891
119	 27.428294441684
120	 27.344387012878
121	 26.990051378876
122	 26.635715744873
123	 26.281380110871
124	 25.927044476868
125	 25.572708842866
126	 25.218373208863
127	 24.864037574861
128	 24.509701940858
129	 24.155366306856
130	 23.801030672853
131	 23.446695038851
132	 23.092359404848
133	 22.738023770846
134	 22.383688136843
135	 22.186671465620
136	 22.307513809598
137	 22.428356153575
138	 22.549198497553
139	 22.670040841531
140	 22.790883185509
141	 22.911725529486
142	 23.032567873464
143	 23.153410217442
144	 23.274252561419
145	 23.395094905397
146	 23.515937249375
147	 23.636779593353
148	 23.757621937330
149	 23.878464281308
150	 24.265269146916
151	 25.189444611202
152	 26.113620075489
153	 27.037795539776
154	 27.961971004063
155	 28.886146468349
156	 29.810321932636
157	 30.734497396923
158	 31.658672861210
159	 32.582848325497
160	 33.507023789783
161	 34.431199254070
162	 35.355374718357
163	 36.279550182644
164	 37.203725646930
165	 37.684185503307
166	 37.268129111501
167	 36.852072719695
168	 36.436016327889
169	 36.019959936083
170	 35.603903544278
171	 35.187847152472
172	 34.771790760666
173	 34.355734368860
174	 33.939677977054
175	 33.523621585249
176	 33.107565193443
177	 32.691508801637
178	 32.275452409831
179	 31.859396018025
180	 31.227920406840
181	 30.161195670095
182	 29.094470933351
183	 28.027746196606
184	 26.961021459861
185	 25.894296723117
186	 24.827571986372
187	 23.760847249627
188	 22.694122512883
189	 21.627397776138
190	 20.560673039393
191	 19.493948302649
192	 18.427223565904
193	 17.360498829159
194	 16.293774092414
195	 15.718748198679
196	 16.137187475936
197	 16.555626753193
198	 16.974066030451
199	 17.392505307708
200	 17.810944584965
201	 18.229383862222
202	 18.647823139480
203	 19.066262416737
204	 19.484701693994
205	 19.903140971252
206	 20.321580248509
207	 20.740019525766
208	 21.158458803024
209	 21.576898080281
210	 21.800079730704
211	 21.628748247086
212	 21.457416763468
213	 21.286085279851
214	 21.114753796233
215	 20.943422312615
216	 20.772090828997
217	 20.600759345380
218	 20.429427861762
219	 20.258096378144
220	 20.086764894526
221	 19.915433410909
222	 19.744101927291
223	 19.572770443673
224	 19.401438960055
225	 19.234794987596
226	 19.077622013782
227	 18.920449039968
228	 18.763276066154
229	 18.606103092340
230	 18.448930118526
231	 18.291757144712
232	 18.134584170899
233	 17.977411197085
234	 17.820238223271
235	 17.663065249457
236	 17.505892275643
237	 17.348719301829
238	 17.191546328016
239	 17.034373354202
240	 16.830051104344
241	 16.530464925596
242	 16.230878746847
243	 15.931292568098
244	 15.631706389349
245	 15.332120210600
246	 15.032534031851
247	 14.732947853103
248	 14.433361674354
249	 14.133775495605
250	 13.834189316856
251	 13.534603138107
252	 13.235016959359
253	 12.935430780610
254	 12.635844601861
255	 12.348404864198
256	 12.085506705890
257	 11.822608547581
258	 11.559710389273
259	 11.296812230965
260	 11.033914072656
261	 10.771015914348
262	 10.508117756040
263	 10.245219597731
264	 9.982321439423
265	 9.719423281115
266	 9.456525122806
267	 9.193626964498
268	 8.930728806190
269	 8.667830647881
270	 8.478550467103
271	 8.438013562186
272	 8.397476657268
273	 8.356939752351
274	 8.316402847434
275	 8.275865942516
276	 8.235329037599
277	 8.194792132682
278	 8.154255227764
279	 8.113718322847
280	 8.073181417929
281	 8.032644513012
282	 7.992107608095
283	 7.951570703177
284	 7.911033798260
285	 7.870496893342
286	 7.829959988425
287	 7.789423083508
288	 7.748886178590
289	 7.708349273673
290	 7.667812368755
291	 7.627275463838
292	 7.586738558921
293	 7.546201654003
294	 7.505664749086
295	 7.465127844168
296	 7.424590939251
297	 7.384054034334
298	 7.343517129416
299	 7.302980224499
300	 7.262443319582
301	 7.221906414664
302	 7.181369509747
303	 7.140832604829
304	 7.100295699912
305	 7.059758794995
306	 7.019221890077
307	 6.978684985160
308	 6.938148080242
309	 6.897611175325
310	 6.857074270408
311	 6.816537365490
312	 6.776000460573
313	 6.735463555655
314	 6.694926650738
315	 6.654389745821
316	 6.613852840903
317	 6.573315935986
318	 6.532779031068
319	 6.492242126151
